Date,HomeTeam,AwayTeam,HomeTeam_n,AwayTeam_n,FTHG,FTAG,merge_status,fail_reason
2020-09-13,West Bromwich Albion,Leicester City,west bromwich albion,leicester,0,3,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2020-09-26,West Bromwich Albion,Chelsea,west bromwich albion,chelsea,3,3,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2020-10-19,West Bromwich Albion,Burnley,west bromwich albion,burnley,0,0,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2020-11-08,West Bromwich Albion,Tottenham,west bromwich albion,tottenham,0,1,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2020-11-28,West Bromwich Albion,Sheffield Utd,west bromwich albion,sheffield,1,0,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2020-12-06,West Bromwich Albion,Crystal Palace,west bromwich albion,crystal palace,1,5,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2020-12-20,West Bromwich Albion,Aston Villa,west bromwich albion,aston villa,0,3,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2020-12-29,West Bromwich Albion,Leeds United,west bromwich albion,leeds,0,5,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2021-01-02,West Bromwich Albion,Arsenal,west bromwich albion,arsenal,0,4,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2021-01-26,West Bromwich Albion,Manchester City,west bromwich albion,man city,0,5,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2021-01-30,West Bromwich Albion,Fulham,west bromwich albion,fulham,2,2,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2021-02-14,West Bromwich Albion,Manchester Utd,west bromwich albion,man utd,1,1,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2021-02-27,West Bromwich Albion,Brighton,west bromwich albion,brighton,1,0,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2021-03-04,West Bromwich Albion,Everton,west bromwich albion,everton,0,1,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2021-03-07,West Bromwich Albion,Newcastle Utd,west bromwich albion,newcastle,0,0,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2021-04-12,West Bromwich Albion,Southampton,west bromwich albion,southampton,3,0,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2021-05-03,West Bromwich Albion,Wolves,west bromwich albion,wolves,1,1,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2021-05-16,West Bromwich Albion,Liverpool,west bromwich albion,liverpool,1,2,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
2021-05-19,West Bromwich Albion,West Ham,west bromwich albion,west ham,1,3,no_odds_found,Dentro del rango pero sin cuota encontrada (equipo/alias no mapeado o partido extra)
