model,metric,value
Model_A_Elo_xG,n_matches_with_odds,1881.0
Model_A_Elo_xG,edge_mean,0.09431361027690405
Model_A_Elo_xG,edge_median,0.09717566378229853
Model_A_Elo_xG,edge_p90,0.23776234390850315
Model_A_Elo_xG,edge_p99,0.3385859713141721
Model_A_Elo_xG,edge_max,0.44598661481751734
Model_A_Elo_xG,ev_multiplier_mean,1.3958364431699746
Model_A_Elo_xG,ev_multiplier_median,1.2268959642959436
Model_A_Elo_xG,ev_multiplier_p90,2.002372784479507
Model_A_Elo_xG,ev_multiplier_p99,3.7476698213565762
Model_A_Elo_xG,ev_multiplier_max,6.0319073436212545
Model_A_Elo_xG,disagreement_mean,0.12155876871523115
Model_A_Elo_xG,disagreement_median,0.1097008779335279
Model_A_Elo_xG,disagreement_p90,0.23950482926713423
Model_A_Elo_xG,disagreement_p99,0.3385859713141721
Model_A_Elo_xG,disagreement_max,0.44598661481751734
Model_A_Elo_xG,freq_ev_gt_1.10,1239.0
Model_A_Elo_xG,freq_ev_gt_1.2,997.0
Model_A_Elo_xG,freq_edge_gt_0.15,584.0
Model_A_Elo_xG,avg_disagreement,0.12155876871523115
Model_B_Elo_only,n_matches_with_odds,1881.0
Model_B_Elo_only,edge_mean,0.09201121520116541
Model_B_Elo_only,edge_median,0.09547076592618814
Model_B_Elo_only,edge_p90,0.2367123164931747
Model_B_Elo_only,edge_p99,0.34142988704195865
Model_B_Elo_only,edge_max,0.4483539967329374
Model_B_Elo_only,ev_multiplier_mean,1.392784432812681
Model_B_Elo_only,ev_multiplier_median,1.2215246634010655
Model_B_Elo_only,ev_multiplier_p90,1.9901072222761644
Model_B_Elo_only,ev_multiplier_p99,3.761396154254315
Model_B_Elo_only,ev_multiplier_max,6.0179481263211105
Model_B_Elo_only,disagreement_mean,0.12085698177176793
Model_B_Elo_only,disagreement_median,0.10913122963697602
Model_B_Elo_only,disagreement_p90,0.2394768936156167
Model_B_Elo_only,disagreement_p99,0.34142988704195865
Model_B_Elo_only,disagreement_max,0.4483539967329374
Model_B_Elo_only,freq_ev_gt_1.10,1226.0
Model_B_Elo_only,freq_ev_gt_1.2,987.0
Model_B_Elo_only,freq_edge_gt_0.15,585.0
Model_B_Elo_only,avg_disagreement,0.12085698177176793
