Date,HomeTeam,AwayTeam,FTHG,FTAG,Home_xG,Away_xG,match_key,B365H,B365D,B365A
2020-09-19,arsenal,westham,2,1,1.1,2.0,20200919_arsenal_westham,,,
2020-10-04,arsenal,sheffieldutd,2,1,0.6,0.2,20201004_arsenal_sheffieldutd,,,
2020-10-25,arsenal,leicestercity,0,1,0.7,0.7,20201025_arsenal_leicestercity,,,
2020-11-08,arsenal,astonvilla,0,3,1.5,1.8,20201108_arsenal_astonvilla,,,
2020-11-29,arsenal,wolves,1,2,1.5,1.8,20201129_arsenal_wolves,,,
2020-12-13,arsenal,burnley,0,1,1.6,1.4,20201213_arsenal_burnley,,,
2020-12-16,arsenal,southampton,1,1,0.6,1.2,20201216_arsenal_southampton,,,
2020-12-26,arsenal,chelsea,3,1,2.0,2.6,20201226_arsenal_chelsea,,,
2021-01-14,arsenal,crystalpalace,0,0,0.4,0.8,20210114_arsenal_crystalpalace,,,
2021-01-18,arsenal,newcastleutd,3,0,2.4,0.2,20210118_arsenal_newcastleutd,,,
2021-01-30,arsenal,manchesterutd,0,0,0.9,1.6,20210130_arsenal_manchesterutd,,,
2021-02-14,arsenal,leedsutd,4,2,2.3,0.9,20210214_arsenal_leedsutd,,,
2021-02-21,arsenal,manchestercity,0,1,0.3,1.8,20210221_arsenal_manchestercity,,,
2021-03-14,arsenal,tottenham,2,1,1.7,0.4,20210314_arsenal_tottenham,,,
2021-04-03,arsenal,liverpool,0,3,0.1,2.4,20210403_arsenal_liverpool,,,
2021-04-18,arsenal,fulham,1,1,2.7,0.9,20210418_arsenal_fulham,,,
2021-04-23,arsenal,everton,0,1,0.8,0.5,20210423_arsenal_everton,,,
2021-05-09,arsenal,westbrom,3,1,0.9,1.8,20210509_arsenal_westbrom,,,
2021-05-23,arsenal,brighton,2,0,0.8,0.2,20210523_arsenal_brighton,,,
2021-09-11,arsenal,norwichcity,1,0,2.7,0.7,20210911_arsenal_norwichcity,,,
2021-11-27,arsenal,newcastleutd,2,0,2.5,0.3,20211127_arsenal_newcastleutd,,,
2022-01-01,arsenal,manchestercity,1,2,0.8,2.0,20220101_arsenal_manchestercity,,,
2022-03-13,arsenal,leicestercity,2,0,2.4,0.4,20220313_arsenal_leicestercity,,,
2022-04-23,arsenal,manchesterutd,3,1,2.3,1.8,20220423_arsenal_manchesterutd,,,
2022-05-08,arsenal,leedsutd,2,1,2.0,0.3,20220508_arsenal_leedsutd,,,
2022-08-13,arsenal,leicestercity,4,2,2.7,0.5,20220813_arsenal_leicestercity,,,
2022-10-30,arsenal,nott'hamforest,5,0,2.3,0.4,20221030_arsenal_nott'hamforest,,,
2023-01-03,arsenal,newcastleutd,0,0,1.1,1.0,20230103_arsenal_newcastleutd,,,
